	dataset	model	context	top_id	top_token	true_id	true_token	target_id	loss	entropy	prob_true	prob_predicted	top_5	top_10	to_1	to_5	to_10	to_100	to_1000	bottom_1000	avg_all	context_size	case_sensitive	mask_idx
0	tunnel	EleutherAI/gpt-neo-1.3B	tonight, a story by frederik pohl: tunnel under the world.	198.0	"
"	319.0	 on	on	6.2999138832092285	5.0413665771484375	0.002113977214321494	0.3174312710762024	0	0	0.3174312710762024	0.027348622679710388	0.015254795551300049	0.0024253888987004757	0.00017803808441385627	6.074469260930471e-10	1.9897724996553734e-05	10	transcript_cased	-1
1	tunnel	EleutherAI/gpt-neo-1.3B	a story by frederik pohl: tunnel under the world. on	262.0	 the	262.0	 the	the	3.4980196952819824	5.856903076171875	0.2059938758611679	0.2059938758611679	1	1	0.2059938758611679	0.025170667096972466	0.008812615647912025	0.0030734282918274403	0.00026980580878444016	9.656009325453851e-10	1.989772317756433e-05	10	transcript_cased	-1
2	tunnel	EleutherAI/gpt-neo-1.3B	story by frederik pohl: tunnel under the world. on the	584.0	 other	3329.0	 morning	morning	11.167859077453613	6.700275421142578	0.003371516475453973	0.055970147252082825	0	0	0.055970147252082825	0.020072083920240402	0.013456416316330433	0.0036742507945746183	0.0003241768281441182	2.107295588027469e-10	1.989772317756433e-05	10	transcript_cased	-1
3	tunnel	EleutherAI/gpt-neo-1.3B	by frederik pohl: tunnel under the world. on the morning	286.0	 of	286.0	 of	of	8.402264595031738	1.2971020936965942	0.804530680179596	0.804530680179596	1	1	0.804530680179596	0.02247527986764908	0.005357330199331045	0.0005261332262307405	2.2850636014482006e-05	1.0138376249635428e-11	1.9897735910490155e-05	10	transcript_cased	-1
4	tunnel	EleutherAI/gpt-neo-1.3B	frederik pohl: tunnel under the world. on the morning of	262.0	 the	474.0	 j	june	8.251516342163086	4.401999473571777	0.01462185475975275	0.27631333470344543	1	1	0.27631333470344543	0.015567751601338387	0.013212429359555244	0.005459947511553764	7.934627501526847e-05	1.0475920825259166e-10	1.989772863453254e-05	10	transcript_cased	-1
5	tunnel	EleutherAI/gpt-neo-1.3B	pohl: tunnel under the world. on the morning of june	11.0	,	5515.0	 fif	fifteenth,	19.100231170654297	4.381146430969238	0.0008430778398178518	0.07806079834699631	0	0	0.07806079834699631	0.035200800746679306	0.027554508298635483	0.006322621833533049	6.679397483821958e-05	3.098840975490624e-11	1.989772317756433e-05	10	transcript_cased	-1
6	tunnel	EleutherAI/gpt-neo-1.3B	tunnel under the world. on the morning of june fifteenth,	262.0	 the	3516.0	 guy	guy	12.91612434387207	5.621166229248047	7.0213891376624815e-06	0.139166921377182	0	0	0.139166921377182	0.039521101862192154	0.015502396039664745	0.0035002788063138723	0.00023509730817750096	3.723968355906493e-10	1.9897724996553734e-05	10	transcript_cased	-1
7	tunnel	EleutherAI/gpt-neo-1.3B	under the world. on the morning of june fifteenth, guy	373.0	 was	4356.0	 bur	burckhardt	10.292926788330078	6.368547439575195	3.0564067856175825e-05	0.05468374490737915	0	0	0.05468374490737915	0.03130606934428215	0.017195135354995728	0.0034897264558821917	0.00031149605638347566	3.0402202977342085e-10	1.989772863453254e-05	10	transcript_cased	-1
8	tunnel	EleutherAI/gpt-neo-1.3B	the world. on the morning of june fifteenth, guy burckhardt	198.0	"
"	19092.0	 woke	woke	9.879186630249023	4.36728048324585	0.0017907752189785242	0.16567794978618622	0	0	0.16567794978618622	0.08814649283885956	0.015041212551295757	0.0025121611542999744	0.00014950612967368215	2.061039360012895e-11	1.989772317756433e-05	10	transcript_cased	-1
9	tunnel	EleutherAI/gpt-neo-1.3B	world. on the morning of june fifteenth, guy burckhardt woke	510.0	 up	510.0	 up	up	9.160774230957031	2.4648966789245605	0.44350987672805786	0.44350987672805786	1	1	0.44350987672805786	0.08266631513834	0.017429780215024948	0.0011594946263357997	2.6613552108756267e-05	7.792690104313493e-12	1.9897730453521945e-05	10	transcript_cased	-1
