	dataset	type	model	context	target	top_predicted	loss	entropy	prob_true	prob_predicted	context_size
0	pieman_transcript	transcript	google/electra-base-discriminator	[CLS] i began my illustrious career in journalism in the bronx where i toiled	as	gaul	10.578062057495117	8.869328498840332	2.5468671083217487e-05	0.014426454901695251	15
1	pieman_transcript	transcript	google/electra-base-discriminator	i began my illustrious career in journalism in the bronx where i toiled [MASK]	a	western	11.705015182495117	8.897904396057129	8.252325642388314e-06	0.009170047007501125	15
2	pieman_transcript	transcript	google/electra-base-discriminator	began my illustrious career in journalism in the bronx where i toiled [MASK] [MASK]	hard	faye	12.969977378845215	8.922904968261719	2.329219341845601e-06	0.005025321152061224	15
3	pieman_transcript	transcript	google/electra-base-discriminator	my illustrious career in journalism in the bronx where i toiled [MASK] [MASK] [MASK]	-	##tty	11.944682121276855	8.980889320373535	6.4936725721054245e-06	0.011589590460062027	15
4	pieman_transcript	transcript	google/electra-base-discriminator	illustrious career in journalism in the bronx where i toiled [MASK] [MASK] [MASK] [MASK]	boiled	##anto	11.118972778320312	8.910378456115723	1.4828298844804522e-05	0.012760352343320847	15
5	pieman_transcript	transcript	google/electra-base-discriminator	career in journalism in the bronx where i toiled [MASK] [MASK] [MASK] [MASK] [MASK]	reporter	##ament	11.522245407104492	8.828346252441406	9.907233106787317e-06	0.009481290355324745	15
6	pieman_transcript	transcript	google/electra-base-discriminator	in journalism in the bronx where i toiled [MASK] [MASK] [MASK] [MASK] [MASK] [MASK]	for	##uk	9.463873863220215	8.8490571975708	7.760537118883803e-05	0.015338243916630745	15
7	pieman_transcript	transcript	google/electra-base-discriminator	journalism in the bronx where i toiled [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK]	the	sans	12.40796947479248	8.994904518127441	4.085895852767862e-06	0.005634435452520847	15
8	pieman_transcript	transcript	google/electra-base-discriminator	in the bronx where i toiled [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK]	ram	minus	13.311638832092285	8.895774841308594	1.6551168755540857e-06	0.01434340700507164	15
9	pieman_transcript	transcript	google/electra-base-discriminator	the bronx where i toiled [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK]	,	##ays	11.754873275756836	8.85474967956543	7.85097017796943e-06	0.02029453031718731	15
