	dataset	model	context	top_id	top_token	true_id	true_token	target_id	loss	entropy	prob_true	prob_predicted	top_5	top_10	to_1	to_5	to_10	to_100	to_1000	bottom_1000	avg_all	context_size	case_sensitive	mask_idx
0	vinny	bert-base-cased	"[CLS] Vinny and Mona stumbled bleary eyed into a dingy looking diner. The place was deserted, [MASK] for a few flies lazily circling around the lamps. The hostess, who was loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny [SEP]"	2589.0	except	3277.0	save	save	1.6687983274459839	0.4995495080947876	0.1884734332561493	0.8098078370094299	1	1	0.8098078370094299	0.047463253140449524	3.796246892306954e-05	1.3028271723669604e-06	2.8311900379662802e-08	3.203177469362356e-13	3.448754068813287e-05	50	transcript	22
1	vinny	bert-base-cased	"[CLS] and Mona stumbled bleary eyed into a dingy looking diner. The place was deserted, save for a few flies lazily circling around the lamps. The hostess, who was loudly chewing [MASK] wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and [SEP]"	170.0	a	170.0	a	a	0.028895264491438866	0.16085664927959442	0.9715182185173035	0.9715182185173035	1	1	0.9715182185173035	0.006782446522265673	0.00016801843594294041	4.490738774620695e-06	7.687553704727179e-08	5.622090033102767e-12	3.448751522228122e-05	50	transcript	40
2	vinny	bert-base-cased	"[CLS] Mona stumbled bleary eyed into a dingy looking diner. The place was deserted, save for a few flies lazily circling around the lamps. The hostess, who was loudly chewing a wad of gum, [MASK] toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they [SEP]"	2471.0	nodded	3356.0	pointed	pointed	1.9198521375656128	2.4906415939331055	0.14662863314151764	0.2857173681259155	1	1	0.2857173681259155	0.11603792011737823	0.02881685271859169	0.0010767163475975394	9.698635949462187e-06	4.3547665473653296e-11	3.448752249823883e-05	50	transcript	45
3	vinny	bert-base-cased	"[CLS] stumbled bleary eyed into a dingy looking diner. The place was deserted, save for a few flies lazily circling around the lamps. The hostess, who was loudly chewing a wad of gum [MASK] pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took [SEP]"	117.0	,	117.0	,	,	0.0016462358180433512	0.01993199810385704	0.9983550906181335	0.9983550906181335	1	1	0.9983550906181335	0.00015006805188022554	5.869918459211476e-05	4.588527190207969e-06	2.6760267246572766e-07	6.691112507811736e-12	3.4487518860260025e-05	50	transcript	43
4	vinny	bert-base-cased	"[CLS] bleary eyed into a dingy looking diner. The [MASK] was deserted, save for a few flies lazily circling around the lamps. The hostess, who was loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their [SEP]"	1282.0	place	1282.0	place	place	0.9164630174636841	2.9625935554504395	0.39993107318878174	0.39993107318878174	1	1	0.39993107318878174	0.06363296508789062	0.023426052182912827	0.0020585458260029554	4.202144918963313e-05	1.543090100142308e-10	3.448752249823883e-05	50	transcript	13
5	vinny	bert-base-cased	"[CLS] eyed into a dingy looking diner. [MASK] place was deserted, save for a few flies lazily circling around the lamps. The hostess, who was loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats [SEP]"	1109.0	The	1109.0	The	The	0.007318946532905102	0.04996699467301369	0.9927077889442444	0.9927077889442444	1	1	0.9927077889442444	0.001648205565288663	0.00010286710312357172	1.7224704151885817e-06	2.1355297974423593e-08	1.7407066456656684e-12	3.4487518860260025e-05	50	transcript	9
6	vinny	bert-base-cased	"[CLS] into a dingy looking diner. The place was deserted, save for a few flies lazily circling around the lamps. The hostess, [MASK] was loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats with [SEP]"	1150.0	who	1150.0	who	who	0.0026779049076139927	0.02433854341506958	0.9973256587982178	0.9973256587982178	1	1	0.9973256587982178	0.000554532278329134	2.8010355890728533e-05	1.7762497463991167e-06	1.3088919104120578e-07	1.6531291309809792e-12	3.448751522228122e-05	50	transcript	29
7	vinny	bert-base-cased	"[CLS] a dingy looking diner. The place was deserted, save for a few [MASK] lazily circling around the lamps. The hostess, who was loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats with a [SEP]"	1234.0	people	10498.0	flies	flies	3.1164021492004395	4.107350826263428	0.04431631788611412	0.14394834637641907	1	1	0.14394834637641907	0.06929373741149902	0.02301296964287758	0.004219785798341036	8.54029567562975e-05	9.485721236268674e-11	3.4487518860260025e-05	50	transcript	16
8	vinny	bert-base-cased	"[CLS] dingy looking diner. The place was deserted, save for a few flies lazily circling around the lamps. The hostess, who [MASK] loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats with a yawn. [SEP]"	1108.0	was	1108.0	was	was	0.04305769130587578	0.2514968812465668	0.9578561186790466	0.9578561186790466	1	1	0.9578561186790466	0.008820716291666031	0.00040040694875642657	4.434463335201144e-05	8.881943927008251e-07	4.316155505917907e-12	3.4487518860260025e-05	50	transcript	28
9	vinny	bert-base-cased	"[CLS] looking diner. The place was deserted, save for a few [MASK] lazily circling around the lamps. The hostess, who was loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats with a yawn. A [SEP]"	4939.0	birds	10498.0	flies	flies	3.167041540145874	4.1623945236206055	0.042128052562475204	0.13474895060062408	1	1	0.13474895060062408	0.07024208456277847	0.023743491619825363	0.004145894665271044	9.32893599383533e-05	1.2667414339695426e-10	3.4487518860260025e-05	50	transcript	13
10	vinny	bert-base-cased	"[CLS] diner. The place was deserted, save for a few flies lazily circling around the lamps. The hostess, [MASK] was loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats with a yawn. A cook [SEP]"	1150.0	who	1150.0	who	who	0.002725222148001194	0.024679141119122505	0.9972785115242004	0.9972785115242004	1	1	0.9972785115242004	0.0005567453918047249	3.078000736422837e-05	1.9017037402591086e-06	1.415584875985587e-07	1.918162894146147e-12	3.448751522228122e-05	50	transcript	24
11	vinny	bert-base-cased	"[CLS] The place was deserted, save for a few flies lazily circling around the lamps. The hostess, who was loudly chewing a wad of gum, pointed toward the counter. "" There [MASK] s seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats with a yawn. A cook wearing [SEP]"	112.0	'	112.0	'	'	0.04780496656894684	0.1935230940580368	0.9533197283744812	0.9533197283744812	1	1	0.9533197283744812	0.011605966836214066	9.40530480875168e-06	1.2994244116271148e-06	6.734415336495658e-08	3.824713115663236e-12	3.448752249823883e-05	50	transcript	39
12	vinny	bert-base-cased	"[CLS] place was deserted, save for a few flies lazily circling around the lamps. [MASK] hostess, who was loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats with a yawn. A cook wearing a [SEP]"	1109.0	The	1109.0	The	The	0.0707000344991684	0.3944540321826935	0.9317413568496704	0.9317413568496704	1	1	0.9317413568496704	0.01274605467915535	0.002818082692101598	2.8214075427968055e-05	4.3406095073805773e-07	5.340681022425464e-11	3.448753705015406e-05	50	transcript	18
13	vinny	bert-base-cased	"[CLS] was deserted, save for a few flies lazily circling around the lamps. The hostess, who was loudly chewing a wad of gum, pointed toward the counter. "" There'[MASK] seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats with a yawn. A cook wearing a white [SEP]"	188.0	s	188.0	s	s	0.07345515489578247	0.3275843858718872	0.9291778206825256	0.9291778206825256	1	1	0.9291778206825256	0.016415322199463844	0.0003903900214936584	2.435420174151659e-05	8.567485565436073e-07	1.0269107612870254e-11	3.448753341217525e-05	50	transcript	38
14	vinny	bert-base-cased	"[CLS] deserted, save for a few flies lazily circling around the lamps. The hostess, who was loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if [MASK] want breakfast "" Thanks, "" said Vinny and they took their seats with a yawn. A cook wearing a white apron [SEP]"	1128.0	you	1128.0	you	you	0.044386494904756546	0.2467285543680191	0.9565841555595398	0.9565841555595398	1	1	0.9565841555595398	0.01002406608313322	0.00038770571700297296	1.2631430763576645e-05	1.759033523285325e-07	8.716445967782427e-12	3.448752249823883e-05	50	transcript	43
15	vinny	bert-base-cased	"[CLS] save for a few flies lazily circling around the [MASK]. The hostess, who was loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats with a yawn. A cook wearing a white apron emerged [SEP]"	1395.0	room	15248.0	lamps	lamps	9.665926933288574	5.949041366577148	6.340757681755349e-05	0.0432380735874176	0	0	0.0432380735874176	0.03214582800865173	0.020612578839063644	0.003922623582184315	0.00033161204191856086	6.2839435877037886e-09	3.448751522228122e-05	50	transcript	12
16	vinny	bert-base-cased	"[CLS] for a few flies lazily [MASK] around the lamps. The hostess, who was loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats with a yawn. A cook wearing a white apron emerged from [SEP]"	23697.0	buzzed	20774.0	circling	circling	4.99367618560791	2.90865421295166	0.0067806909792125225	0.317911297082901	0	0	0.317911297082901	0.09711208194494247	0.012463507242500782	0.0020606997422873974	4.376587821752764e-05	4.342238513199703e-10	3.448751522228122e-05	50	transcript	8
17	vinny	bert-base-cased	"[CLS] a few flies lazily circling around the lamps. The hostess, who was loudly chewing a wad of gum, pointed toward the [MASK]. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats with a yawn. A cook wearing a white apron emerged from the [SEP]"	1442.0	door	4073.0	counter	counter	2.701523780822754	4.501504421234131	0.06710318475961685	0.09180302172899246	1	1	0.09180302172899246	0.0616578683257103	0.03052021935582161	0.004255632404237986	0.00011772486323025078	1.016091655259288e-09	3.448751522228122e-05	50	transcript	28
18	vinny	bert-base-cased	"[CLS] few flies lazily circling around the lamps. The hostess, who was loudly chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, [MASK] said Vinny and they took their seats with a yawn. A cook wearing a white apron emerged from the back [SEP]"	107.0	""""	107.0	""""	""""	0.004635422024875879	0.0453265905380249	0.9953752756118774	0.9953752756118774	1	1	0.9953752756118774	0.0007572432514280081	3.877588460454717e-05	6.091872364777373e-06	5.699853318219539e-07	2.788008018894672e-11	3.448752613621764e-05	50	transcript	44
19	vinny	bert-base-cased	"[CLS] flies lazily circling around the lamps. The hostess, who was [MASK] chewing a wad of gum, pointed toward the counter. "" There's seats at the counter if you want breakfast "" Thanks, "" said Vinny and they took their seats with a yawn. A cook wearing a white apron emerged from the back room [SEP]"	1253.0	still	9733.0	loudly	loudly	8.119977951049805	2.7046637535095215	0.0002975352108478546	0.3094446659088135	0	0	0.3094446659088135	0.11447705328464508	0.01502339355647564	0.0014394972240552306	2.757163929345552e-05	2.1677684647336548e-10	3.448752249823883e-05	50	transcript	15
