	dataset	model	context	top_id	top_token	true_id	true_token	target_id	loss	entropy	prob_true	prob_predicted	top_5	top_10	to_1	to_5	to_10	to_100	to_1000	bottom_1000	avg_all	context_size	case_sensitive	mask_idx
0	shame	EleutherAI/gpt-neo-1.3B	Brandon spotted Marianne at a	1957.0	 local	3084.0	 table	table	9.094579696655273	6.466346263885498	0.00901075080037117	0.05945910885930061	0	0	0.05945910885930061	0.03406986594200134	0.011960582807660103	0.0032771332189440727	0.0003374351072125137	8.767689352318087e-11	1.9897724996553734e-05	5	transcript	-1
1	shame	EleutherAI/gpt-neo-1.3B	spotted Marianne at a table	287.0	 in	355.0	 as	as	11.598845481872559	3.7701146602630615	0.003699089167639613	0.18736447393894196	0	0	0.18736447393894196	0.08251728117465973	0.02975347638130188	0.002826903248205781	7.221986743388698e-05	4.499095106885731e-12	1.9897732272511348e-05	5	transcript	-1
2	shame	EleutherAI/gpt-neo-1.3B	Marianne at a table as	673.0	 she	2582.0	 soon	soon	9.927751541137695	4.874526023864746	0.0028513181023299694	0.2499701976776123	0	0	0.2499701976776123	0.06508104503154755	0.015265047550201416	0.0016268504550680518	0.00015573130804114044	3.8999320439714324e-10	1.9897721358574927e-05	5	transcript	-1
3	shame	EleutherAI/gpt-neo-1.3B	at a table as soon	355.0	 as	355.0	 as	as	9.272061347961426	0.1503133326768875	0.9831458926200867	0.9831458926200867	1	1	0.9831458926200867	0.0018489494686946273	0.000702092656865716	4.9732836487237364e-05	9.781582548384904e-07	9.56611417683717e-13	1.9897732272511348e-05	5	transcript	-1
4	shame	EleutherAI/gpt-neo-1.3B	a table as soon as	1744.0	 possible	339.0	 he	he	8.744253158569336	3.030906915664673	0.02504710480570793	0.2728733718395233	0	1	0.2728733718395233	0.10654178261756897	0.03097851201891899	0.0009625612874515355	3.143601861665957e-05	9.671583672821171e-11	1.9897724996553734e-05	5	transcript	-1
5	shame	EleutherAI/gpt-neo-1.3B	table as soon as he	714.0	 could	5982.0	 entered	entered	11.958842277526855	4.574707984924316	0.003287461120635271	0.10430622845888138	0	0	0.10430622845888138	0.061871159821748734	0.028813332319259644	0.003944210708141327	0.0001378084853058681	1.946223781093548e-12	1.989772863453254e-05	5	transcript	-1
6	shame	EleutherAI/gpt-neo-1.3B	as soon as he entered	262.0	 the	262.0	 the	the	10.990423202514648	2.4120922088623047	0.6203619837760925	0.6203619837760925	1	1	0.6203619837760925	0.04485465958714485	0.009906915947794914	0.000845709175337106	4.22430457547307e-05	9.513555221385417e-11	1.9897724996553734e-05	5	transcript	-1
7	shame	EleutherAI/gpt-neo-1.3B	soon as he entered the	2119.0	 room	7072.0	 restaurant	restaurant.	12.124356269836426	5.771220684051514	0.0023442618548870087	0.20276959240436554	0	0	0.20276959240436554	0.03498624265193939	0.010636677965521812	0.0026301222387701273	0.0002520260459277779	1.249547826320807e-10	1.989772863453254e-05	5	transcript	-1
8	shame	EleutherAI/gpt-neo-1.3B	as he entered the restaurant.	198.0	"
"	7486.0	 Though	Though	15.56309700012207	3.9254064559936523	0.0007872908608987927	0.2785258889198303	0	0	0.2785258889198303	0.07568123936653137	0.017270971089601517	0.0022000966127961874	9.26268839975819e-05	2.884755975762765e-11	1.989772863453254e-05	5	transcript	-1
9	shame	EleutherAI/gpt-neo-1.3B	he entered the restaurant. Though	339.0	 he	339.0	 he	he	10.176448822021484	4.876462936401367	0.22965016961097717	0.22965016961097717	1	1	0.22965016961097717	0.06990889459848404	0.019011083990335464	0.0014680573949590325	0.00013808254152536392	5.624903876011444e-10	1.9897724996553734e-05	5	transcript	-1
