	dataset	model	context	top_id	top_token	true_id	true_token	target_id	loss	entropy	prob_true	prob_predicted	top_5	top_10	to_1	to_5	to_10	to_100	to_1000	bottom_1000	avg_all	context_size	case_sensitive	mask_idx
0	upintheair	roberta-base	<s>ryan looked up from his<mask> pass and sighed. there was his new partner natalie, awkwardly climbing out of a taxi at the curb of the airport. she fumbled with her</s>	16011.0	 boarding	16011.0	 boarding	 boarding	0.06065873056650162	0.4919688403606415	0.9411443471908569	0.9411443471908569	1	1	0.9411443471908569	0.005423516966402531	0.001498871366493404	0.00021954419207759202	9.072582543012686e-06	7.377867034755875e-15	1.9894554498023354e-05	30	transcript_cased	6
1	upintheair	roberta-base	<s>looked up from his boarding pass and sighed. there was his<mask> partner natalie, awkwardly climbing out of a taxi at the curb of the airport. she fumbled with her duffle</s>	92.0	 new	92.0	 new	 new	1.865751028060913	4.728762149810791	0.15477992594242096	0.15477992594242096	1	1	0.15477992594242096	0.0559907928109169	0.022037804126739502	0.003493918338790536	0.00017986643069889396	3.592304947432068e-13	1.989456359297037e-05	30	transcript_cased	14
2	upintheair	roberta-base	<s>up from his boarding pass and sighed. there was his new partner natalie, awkwardly climbing out of a taxi at the curb of<mask> airport. she fumbled with her duffle bag,</s>	5.0	 the	5.0	 the	 the	0.14417369663715363	1.0205256938934326	0.8657373785972595	0.8657373785972595	1	1	0.8657373785972595	0.009934412315487862	0.0027572496328502893	0.0006801957497373223	1.9509150661178865e-05	9.605323806304022e-14	1.9894554498023354e-05	30	transcript_cased	27
3	upintheair	roberta-base	<s>from his boarding pass and sighed. there was his new partner natalie, awkwardly climbing<mask> of a taxi at the curb of the airport. she fumbled with her duffle bag, jacket,</s>	66.0	 out	66.0	 out	 out	0.002645209664478898	0.021518157795071602	0.9973582625389099	0.9973582625389099	1	1	0.9973582625389099	0.0005940261180512607	2.6733012418844737e-05	1.200914539367659e-06	2.2008613598245574e-08	1.3739847168865114e-16	1.9894570868927985e-05	30	transcript_cased	18
4	upintheair	roberta-base	<s>his boarding pass and sighed. there was his new partner natalie, awkwardly climbing out of a taxi<mask> the curb of the airport. she fumbled with her duffle bag, jacket, and</s>	23.0	 at	23.0	 at	 at	0.7934162020683289	1.3221940994262695	0.45229700207710266	0.45229700207710266	1	1	0.45229700207710266	0.1244128942489624	0.006988379172980785	0.0001584715791977942	8.244660421041772e-07	8.57134069260192e-15	1.989456359297037e-05	30	transcript_cased	21
5	upintheair	roberta-base	<s>boarding pass and sighed<mask> there was his new partner natalie, awkwardly climbing out of a taxi at the curb of the airport. she fumbled with her duffle bag, jacket, and massive</s>	6.0	,	4.0	.	.	2.4919371604919434	2.066133737564087	0.08274951577186584	0.4713088870048523	1	1	0.4713088870048523	0.08566971123218536	0.02302466332912445	0.0007137546199373901	6.303725967882201e-06	1.1251892429939292e-12	1.9894561773980968e-05	30	transcript_cased	5
6	upintheair	roberta-base	<s>pass and sighed. there was<mask> new partner natalie, awkwardly climbing out of a taxi at the curb of the airport. she fumbled with her duffle bag, jacket, and massive luggage</s>	127.0	 my	39.0	 his	 his	5.378706455230713	1.449932336807251	0.0046137860044837	0.4627247750759125	0	1	0.4627247750759125	0.128174290060997	0.003199201775714755	8.06449752417393e-05	1.1432807696110103e-06	4.1826402232122625e-14	1.989456359297037e-05	30	transcript_cased	7
7	upintheair	roberta-base	<s>and sighed. there was his new partner natalie<mask> awkwardly climbing out of a taxi at the curb of the airport. she fumbled with her duffle bag, jacket, and massive luggage that</s>	6.0	,	6.0	,	,	0.4139317274093628	1.5386983156204224	0.6610460877418518	0.6610460877418518	1	1	0.6610460877418518	0.061551958322525024	0.0028796731494367123	0.000398581731133163	3.0854920623824e-05	1.1828756290438447e-12	1.9894565411959775e-05	30	transcript_cased	11
8	upintheair	roberta-base	<s>sighed. there<mask> his new partner natalie, awkwardly climbing out of a taxi at the curb of the airport. she fumbled with her duffle bag, jacket, and massive luggage that squeaked</s>	21.0	 was	21.0	 was	 was	0.11494214087724686	0.5425741672515869	0.8914177417755127	0.8914177417755127	1	1	0.8914177417755127	0.023137681186199188	0.0011131694773212075	9.359875548398122e-05	1.926195864143665e-06	1.0709963189740879e-13	1.989457268791739e-05	30	transcript_cased	5
9	upintheair	roberta-base	<s>there was his new partner natalie, awkwardly climbing out<mask> a taxi at the curb of the airport. she fumbled with her duffle bag, jacket, and massive luggage that squeaked shrilly</s>	9.0	 of	9.0	 of	 of	0.0016811060486361384	0.01547467801719904	0.9983202815055847	0.9983202815055847	1	1	0.9983202815055847	0.0003357279347255826	3.825048770522699e-05	1.4380393622559495e-06	1.3331338699629214e-08	2.8371432095753834e-16	1.989455813600216e-05	30	transcript_cased	12
